ID,CASE_NUMBER,DECISION_DATE,ADMIN,CASE_STATUS,PW_LEVEL_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,JOB_INFO_JOB_TITLE,JOB_INFO_EDUCATION,JOB_INFO_EXPERIENCE,RECR_INFO_PROFESSIONAL_OCC,RECR_INFO_COLL_UNIV_TEACHER,FOREIGN_WORKER_INFO_STATE,COUNTRY_OF_CITIZENSHIP,REGION,CLASS_OF_ADMISSION,FOREIGN_WORKER_INFO_EDUCATION,PW_Job_Title_9089
1,A-14183-84671,10/1/15,Obama,Denied,Level II,"128,550.00",Year,"SW ENG'G MGR, AUTOMATION & TOOLS",None,Y,Y,N,CA,FRANCE,EUROPE,H-1B,None,SOFTWARE ENGINEERING (APPS) MGMT
2,A-13169-72835,10/1/15,Obama,Denied,Level II,"78,062.00",Year,Graphics Hardware Engineer,Master's,N,Y,N,AZ,INDIA,ASIA,H-1B,Master's,"Electronics Engineers, Except Computer"
3,A-14171-80641,10/2/15,Obama,Denied,Level II,"98,675.00",Year,SQA Automation Engineer,Master's,Y,Y,N,CA,THAILAND,ASIA,H-1B,Master's,"Software Developers, Applications"
4,A-13156-69155,10/2/15,Obama,Denied,Level II,"83,637.00",Year,Analog Engineer,Master's,N,Y,N,OR,TAIWAN,ASIA,H-1B,Master's,"Electronics Engineers, Except Computer"
5,A-15021-44151,10/5/15,Obama,Denied,Level III,"127,192.00",Year,Vice President of Programming & Strategy,Master's,Y,Y,N,FL,VENEZUELA,LATIN AMERICA,H-1B,Master's,General and Operations Managers
6,A-15065-56672,10/5/15,Obama,Denied,Level IV,"185,890.00",Year,Global Partnerships Director,Bachelor's,Y,Y,N,NY,UNITED KINGDOM,EUROPE,O-2,Bachelor's,Global Partnerships Director
7,A-13052-42105,10/5/15,Obama,Denied,Level IV,"168,875.00",Year,MANAGEMENT ANALYST /PM,Bachelor's,Y,Y,N,NJ,INDIA,ASIA,H-1B,Bachelor's,MANAGEMENT ANALYST / PM
8,A-14191-87027,10/5/15,Obama,Denied,Level I,"46,363.00",Year,Credit Analyst,Bachelor's,N,Y,N,CA,SOUTH KOREA,ASIA,B-2,Bachelor's,Credit Analyst
9,A-14183-84765,10/5/15,Obama,Denied,Level I,"58,094.00",Year,Research Associate,Bachelor's,N,Y,N,CA,IRAN,MIDDLE EAST,H-1B,Doctorate,Statisticians
10,A-15036-48479,10/5/15,Obama,Denied,Level I,"74,776.00",Year,Field Application Engineer,Bachelor's,Y,Y,N,TX,TAIWAN,ASIA,E-1,Bachelor's,Computer Hardware Engineers
11,A-13213-84820,10/5/15,Obama,Denied,Level I,"36,234.00",Year,Social Worker,Master's,N,Y,N,CA,SOUTH KOREA,ASIA,F-1,Master's,Social Worker
12,A-14198-89572,10/5/15,Obama,Denied,,13.37,Hour,CHEF,High School,Y,N,N,FL,MOLDOVA,EUROPE,B-2,High School,CHEFS AND HEAD COOKS
13,A-15049-51729,10/6/15,Obama,Denied,Level IV,"105,706.00",Year,Software Engineer III,Bachelor's,Y,Y,N,OR,INDIA,ASIA,H-1B,Master's,"Software Developers, Applications"
14,A-14208-92757,10/6/15,Obama,Denied,Level III,"43,202.00",Year,Billing Clerk,None,Y,N,N,VA,SOUTH KOREA,ASIA,F-2,High School,Billing Clerk
15,A-14189-86064,10/7/15,Obama,Denied,Level II,"48,963.00",Year,Lab Support Specialist,Bachelor's,N,Y,N,PA,MALAYSIA,ASIA,H-1B,Master's,Electrical and Electronics Engineering Technicians
16,A-14213-94735,10/7/15,Obama,Denied,Level IV,"67,038.00",Year,LEAD GRAPHICS DESIGNER,Bachelor's,Y,Y,N,CA,NEW ZEALAND,OCEANIA,H-1B,Bachelor's,LEAD GRAPHIC DESIGNER
17,A-14210-93572,10/8/15,Obama,Denied,Level III,"125,445.00",Year,Sales Manager - Trilingual,None,Y,Y,N,,SOUTH KOREA,ASIA,,None,Sales Managers
18,A-09041-26928,10/8/15,Obama,Denied,Level IV,"106,412.00",Year,RF Engineer,Bachelor's,Y,Y,N,IL,PAKISTAN,ASIA,H-1B,Bachelor's,RF Engineer
19,A-15133-75881,10/8/15,Obama,Denied,Level IV,"122,450.00",Year,Senior UI Developer,Associate's,N,N,N,MA,INDIA,ASIA,H-1B,Bachelor's,"Software Developers, Applications"
20,A-15036-48458,10/8/15,Obama,Denied,Level II,"86,507.00",Year,"Manufacturing Engineer, Well Control",Bachelor's,N,Y,N,TX,MALAYSIA,ASIA,H-1B,Bachelor's,Mechanical Engineers
21,A-14325-28029,10/8/15,Obama,Denied,Level IV,"30,098.00",Year,Butcher (De-Boner),None,Y,N,N,TX,MEXICO,LATIN AMERICA,EWI,None,Butcher (De-Boner)
22,A-14198-89754,10/9/15,Obama,Denied,Level I,"61,755.00",Year,PHP Developer,Bachelor's,Y,Y,N,CO,INDONESIA,ASIA,H-1B,Bachelor's,"Software Developers, Applications"
23,A-14190-86407,10/13/15,Obama,Denied,Level II,"42,307.00",Year,Multicultural Program Specialist,None,Y,N,N,IN,ZIMBABWE,AFRICA,H-1B,Associate's,Multicultural Program Specialist
