"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.30625165344564,0.312660067514606,-4.17786532136734,2.94257798822605e-05
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",0.613104472885883,0.461671843229496,1.32800923833059,0.184175054992291
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",2.26176309847072,0.612110280698042,3.69502550405042,0.000219864716821701
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-0.635607173354717,0.329459225087034,-1.92924381822001,0.0537006007382898
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-0.42020271737467,0.33360989221635,-1.25956312201367,0.207827006003556
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-1.00538315701962,0.444556486601664,-2.26154198019941,0.0237257161847923
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-1.15760058642059,0.607190813110754,-1.90648567373736,0.056587222652655
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONHigh School",0.613104472885903,0.425546261350767,1.44074693768849,0.149656189137457
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONHigh School",1.4733057381088,0.392046392358841,3.75798825553349,0.000171284918608202
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-0.688448659603977,0.327449665552544,-2.10245644454172,0.0355133112012428
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-0.62409397904401,0.336497432315709,-1.85467679425997,0.0636423944889065
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONNone",0.680243775723328,0.343056513108057,1.98289130137886,0.0473795725168243
"ADMINTrump:FOREIGN_WORKER_INFO_EDUCATIONNone",1.32775785866662,0.334805754447857,3.96575578832654,7.31637434621771e-05
"ADMINObama:FOREIGN_WORKER_INFO_EDUCATIONOther",-0.264965046168267,0.416225095613524,-0.636590750919771,0.524391451337266
