"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",3608107355985.51,2653395847365.58,1.35980741794249,0.173890874386623
"ADMINObama:FOREIGN_WORKER_INFO_STATEAL",-4507207728563139,2653395752656.89,-1698.65641943913,0
"ADMINTrump:FOREIGN_WORKER_INFO_STATEAL",-3608107355988.08,2653395847365.65,-1.35980741794342,0.173890874386327
"ADMINObama:FOREIGN_WORKER_INFO_STATEAR",-3608107355987.41,2653395847365.45,-1.35980741794327,0.173890874386375
"ADMINTrump:FOREIGN_WORKER_INFO_STATEAR",-3608107355987.61,2653395847365.6,-1.35980741794327,0.173890874386375
"ADMINObama:FOREIGN_WORKER_INFO_STATEAZ",-3608107355986.24,2653395847365.58,-1.35980741794276,0.173890874386536
"ADMINTrump:FOREIGN_WORKER_INFO_STATEAZ",-3608107355987.55,2653395847365.62,-1.35980741794323,0.173890874386387
"ADMINObama:FOREIGN_WORKER_INFO_STATECA",-3608107355987.64,2653395847365.59,-1.35980741794329,0.17389087438637
"ADMINTrump:FOREIGN_WORKER_INFO_STATECA",-3608107355987.46,2653395847365.61,-1.35980741794321,0.173890874386396
"ADMINObama:FOREIGN_WORKER_INFO_STATECO",-3608107355987.32,2653395847365.6,-1.35980741794316,0.17389087438641
"ADMINTrump:FOREIGN_WORKER_INFO_STATECO",-3608107355986.25,2653395847365.62,-1.35980741794275,0.173890874386541
"ADMINObama:FOREIGN_WORKER_INFO_STATECT",-3608107355987.31,2653395847365.61,-1.35980741794315,0.173890874386413
"ADMINTrump:FOREIGN_WORKER_INFO_STATECT",-3608107355986.82,2653395847365.62,-1.35980741794296,0.173890874386474
"ADMINObama:FOREIGN_WORKER_INFO_STATEDC",-3608107355986.88,2653395847365.79,-1.3598074179429,0.173890874386493
"ADMINTrump:FOREIGN_WORKER_INFO_STATEDC",-3608107356002.96,2653395847369.1,-1.35980741794726,0.173890874385114
"ADMINObama:FOREIGN_WORKER_INFO_STATEDE",-3608107355998.31,2653395847365.62,-1.35980741794729,0.173890874385102
"ADMINTrump:FOREIGN_WORKER_INFO_STATEDE",-3608107355985.54,2653395847365.6,-1.35980741794249,0.173890874386623
"ADMINObama:FOREIGN_WORKER_INFO_STATEFL",-3608107355987.31,2653395847365.57,-1.35980741794317,0.173890874386407
"ADMINTrump:FOREIGN_WORKER_INFO_STATEFL",-3608107355987.13,2653395847365.63,-1.35980741794307,0.173890874386438
"ADMINObama:FOREIGN_WORKER_INFO_STATEGA",-3608107355987.78,2653395847365.6,-1.35980741794333,0.173890874386356
"ADMINTrump:FOREIGN_WORKER_INFO_STATEGA",-3608107355986.99,2653395847365.63,-1.35980741794302,0.173890874386455
"ADMINObama:FOREIGN_WORKER_INFO_STATEGU",-4507207735038792,2653395405593.79,-1698.65664406325,0
"ADMINObama:FOREIGN_WORKER_INFO_STATEHI",-3608208550059,2653395313957.88,-1.35984582888137,0.173878716394879
"ADMINTrump:FOREIGN_WORKER_INFO_STATEHI",4499991524992914,2653397713016.84,1695.93555572811,0
"ADMINObama:FOREIGN_WORKER_INFO_STATEIA",-4507207734720048,2653395845974.11,-1698.6563620195,0
"ADMINTrump:FOREIGN_WORKER_INFO_STATEIA",-3608107355985.15,2653395847365.62,-1.35980741794234,0.173890874386672
"ADMINObama:FOREIGN_WORKER_INFO_STATEID",-4507207725785405,2653396081426.62,-1698.6562079198,0
"ADMINTrump:FOREIGN_WORKER_INFO_STATEID",4499991522660182,2653395931816.23,1695.93669331511,0
"ADMINObama:FOREIGN_WORKER_INFO_STATEIL",-3608107355986.98,2653395847365.7,-1.35980741794298,0.173890874386467
"ADMINTrump:FOREIGN_WORKER_INFO_STATEIL",-3608107355987.52,2653395847365.63,-1.35980741794322,0.173890874386391
"ADMINObama:FOREIGN_WORKER_INFO_STATEIN",-3608107355986.41,2653395847365.53,-1.35980741794286,0.173890874386507
"ADMINTrump:FOREIGN_WORKER_INFO_STATEIN",-4507207733706146,2653396038251.37,-1698.65623854495,0
"ADMINObama:FOREIGN_WORKER_INFO_STATEKS",-3608107355987.1,2653395847365.57,-1.35980741794309,0.173890874386431
"ADMINTrump:FOREIGN_WORKER_INFO_STATEKS",-3608107355986.72,2653395847365.66,-1.3598074179429,0.173890874386492
"ADMINObama:FOREIGN_WORKER_INFO_STATEKY",-3608107355986.8,2653395847365.72,-1.3598074179429,0.173890874386492
"ADMINTrump:FOREIGN_WORKER_INFO_STATEKY",-3608107355987.34,2653395847365.61,-1.35980741794316,0.17389087438641
"ADMINObama:FOREIGN_WORKER_INFO_STATELA",-4507207736750629,2653395608123.81,-1698.65651505228,0
"ADMINTrump:FOREIGN_WORKER_INFO_STATELA",-3608107355985.22,2653395847365.67,-1.35980741794233,0.173890874386672
"ADMINObama:FOREIGN_WORKER_INFO_STATEMA",-3608107355987.63,2653395847365.52,-1.35980741794332,0.17389087438636
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMA",-3608107355987.03,2653395847365.6,-1.35980741794305,0.173890874386445
"ADMINObama:FOREIGN_WORKER_INFO_STATEMD",-3608107355987.46,2653395847365.58,-1.35980741794322,0.173890874386391
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMD",-3608107355986.5,2653395847365.6,-1.35980741794285,0.173890874386508
"ADMINObama:FOREIGN_WORKER_INFO_STATEME",-3608107356001.54,2653395847365.81,-1.35980741794841,0.173890874384748
"ADMINObama:FOREIGN_WORKER_INFO_STATEMI",-3608107355988.53,2653395847365.7,-1.35980741794357,0.173890874386282
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMI",-3608107355987.49,2653395847365.63,-1.35980741794321,0.173890874386395
"ADMINObama:FOREIGN_WORKER_INFO_STATEMN",-3608107355989,2653395847365.63,-1.35980741794378,0.173890874386214
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMN",-3608107355987.46,2653395847365.64,-1.35980741794319,0.1738908743864
"ADMINObama:FOREIGN_WORKER_INFO_STATEMO",-3608107355987.07,2653395847365.62,-1.35980741794305,0.173890874386444
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMO",-3608107355987.21,2653395847365.65,-1.35980741794309,0.173890874386432
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMP",-3608105502275.18,2653395856215.81,-1.35980671478886,0.173891096957684
"ADMINObama:FOREIGN_WORKER_INFO_STATEMS",-3608107355985.63,2653395847365.67,-1.35980741794249,0.173890874386623
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMS",-3608107355985.4,2653395847365.5,-1.35980741794249,0.173890874386623
"ADMINTrump:FOREIGN_WORKER_INFO_STATEMT",-3608107355968.56,2653395847365.5,-1.35980741793614,0.173890874388633
"ADMINObama:FOREIGN_WORKER_INFO_STATENC",-3608107355987.45,2653395847365.64,-1.35980741794319,0.173890874386402
"ADMINTrump:FOREIGN_WORKER_INFO_STATENC",-3608107355987.31,2653395847365.61,-1.35980741794315,0.173890874386413
"ADMINObama:FOREIGN_WORKER_INFO_STATEND",-3608107355986.29,2653395847365.64,-1.35980741794275,0.173890874386541
"ADMINObama:FOREIGN_WORKER_INFO_STATENE",-3608107355988.05,2653395847365.68,-1.35980741794339,0.173890874386337
"ADMINTrump:FOREIGN_WORKER_INFO_STATENE",-3608107355986.33,2653395847365.67,-1.35980741794275,0.173890874386541
"ADMINObama:FOREIGN_WORKER_INFO_STATENH",-4507207723914819,2653396634191.51,-1698.65585334481,0
"ADMINTrump:FOREIGN_WORKER_INFO_STATENH",-4507207734751072,2653395849052.57,-1698.65636006042,0
"ADMINObama:FOREIGN_WORKER_INFO_STATENJ",-3608107355987.39,2653395847365.61,-1.35980741794318,0.173890874386404
"ADMINTrump:FOREIGN_WORKER_INFO_STATENJ",-3608107355987.36,2653395847365.64,-1.35980741794316,0.173890874386411
"ADMINObama:FOREIGN_WORKER_INFO_STATENM",-3608107355984.01,2653395847365.5,-1.35980741794196,0.173890874386789
"ADMINTrump:FOREIGN_WORKER_INFO_STATENM",-4507207733306541,2653394926506.92,-1698.65695011337,0
"ADMINObama:FOREIGN_WORKER_INFO_STATENV",-3608107355986.08,2653395847365.49,-1.35980741794275,0.173890874386541
"ADMINTrump:FOREIGN_WORKER_INFO_STATENV",-4507207734897145,2653395873058.72,-1698.65634474717,0
