"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.06471073699285,0.366718909548773,-2.90334288543484,0.00369202168931989
"ADMINObama:REGIONCANADA",-0.837396789403995,0.499407781031642,-1.67677962020167,0.0935855843616972
"ADMINTrump:REGIONCANADA",-0.503905180921028,0.505288127659835,-0.997263053170846,0.318636842448255
"ADMINObama:REGIONASIA",-0.829685877612282,0.373224042177822,-2.22302366367111,0.0262142043584724
"ADMINTrump:REGIONASIA",-0.515888925722077,0.374971776047271,-1.37580735051654,0.168881285142305
"ADMINObama:REGIONAFRICA",0.0838814839811694,0.53596691726116,0.156504965660589,0.875635005444001
"ADMINTrump:REGIONAFRICA",1.65249740189511,0.488043504540698,3.38596331376295,0.000709288651533379
"ADMINObama:REGIONLATIN AMERICA",0.495616205102894,0.400728570919866,1.23678779370589,0.216165874848982
"ADMINTrump:REGIONLATIN AMERICA",0.728238500371669,0.39182952628442,1.8585595304093,0.0630895979224122
"ADMINObama:REGIONOCEANIA",-0.807091439908737,0.84344877470047,-0.956894436411216,0.338620539649468
"ADMINTrump:REGIONOCEANIA",-12.5013557563816,239.443434545454,-0.052210058630814,0.958361318237926
"ADMINObama:REGIONEUROPE",-0.567984037605534,0.411875769818153,-1.37901784767845,0.167889251141344
"ADMINTrump:REGIONEUROPE",0.0614086281290823,0.419400643817805,0.146419966288271,0.883589866350914
"ADMINObama:REGIONMIDDLE EAST",-0.881199412062631,0.57005170738877,-1.54582365185631,0.122147163256404
