"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4863642631970.87,2143694132945.82,-2.26881370677978,0.0232796570850479
"FOREIGN_WORKER_INFO_STATENewEngland:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631970.07,2143694132945.77,2.26881370677946,0.0232796570850675
"FOREIGN_WORKER_INFO_STATEMidAtlantic:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631970.71,2143694132945.8,2.26881370677973,0.023279657085051
"FOREIGN_WORKER_INFO_STATESouth:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631970.22,2143694132945.78,2.26881370677952,0.0232796570850636
"FOREIGN_WORKER_INFO_STATEMidwest:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631969.19,2143694132945.69,2.26881370677913,0.0232796570850872
"FOREIGN_WORKER_INFO_STATESouthwest:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631969.46,2143694132945.77,2.26881370677918,0.0232796570850844
"FOREIGN_WORKER_INFO_STATEWest:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631970.17,2143694132945.73,2.26881370677955,0.023279657085062
"FOREIGN_WORKER_INFO_STATENA:FOREIGN_WORKER_INFO_EDUCATIONNone",4863642631970.82,2143694132945.79,2.26881370677979,0.0232796570850472
"FOREIGN_WORKER_INFO_STATENewEngland:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631969.9,2143694132945.87,2.26881370677927,0.0232796570850788
"FOREIGN_WORKER_INFO_STATEMidAtlantic:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631969.3,2143694132945.79,2.26881370677907,0.0232796570850908
"FOREIGN_WORKER_INFO_STATESouth:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631969.04,2143694132945.76,2.26881370677898,0.0232796570850963
"FOREIGN_WORKER_INFO_STATEMidwest:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631968.5,2143694132945.83,2.26881370677866,0.0232796570851158
"FOREIGN_WORKER_INFO_STATESouthwest:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631968.02,2143694132945.73,2.26881370677855,0.0232796570851227
"FOREIGN_WORKER_INFO_STATEWest:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631969.58,2143694132945.82,2.26881370677917,0.0232796570850848
"FOREIGN_WORKER_INFO_STATENA:FOREIGN_WORKER_INFO_EDUCATIONOther",4863642631971.12,2143694132945.75,2.26881370677997,0.0232796570850364
"FOREIGN_WORKER_INFO_STATENewEngland:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631971.15,2143694132945.82,2.26881370677991,0.0232796570850397
"FOREIGN_WORKER_INFO_STATEMidAtlantic:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631969.97,2143694132945.76,2.26881370677942,0.0232796570850698
"FOREIGN_WORKER_INFO_STATESouth:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631970.39,2143694132945.76,2.26881370677962,0.0232796570850575
"FOREIGN_WORKER_INFO_STATEMidwest:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631971.79,2143694132945.74,2.26881370678029,0.0232796570850168
"FOREIGN_WORKER_INFO_STATESouthwest:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631970.19,2143694132945.82,2.26881370677946,0.0232796570850675
"FOREIGN_WORKER_INFO_STATEWest:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631969.75,2143694132945.75,2.26881370677933,0.023279657085075
"FOREIGN_WORKER_INFO_STATENA:FOREIGN_WORKER_INFO_EDUCATIONHigh School",4863642631970.79,2143694132945.78,2.26881370677978,0.0232796570850479
"FOREIGN_WORKER_INFO_STATENewEngland:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",4508463264932235,2143693512501.19,2103.12866024953,0
"FOREIGN_WORKER_INFO_STATEMidAtlantic:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",4863642631969.39,2143694132945.78,2.26881370677913,0.0232796570850872
"FOREIGN_WORKER_INFO_STATESouth:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",4863642631971.13,2143694132945.81,2.26881370677991,0.0232796570850397
"FOREIGN_WORKER_INFO_STATEMidwest:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",4863642631972.38,2143694132945.77,2.26881370678053,0.0232796570850022
