"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",6414050845013.02,1919272610606.53,3.34191756270937,0.000832017673721794
"FOREIGN_WORKER_INFO_STATEAR:REGIONAFRICA",-4510013652515657,1919273281106.92,-2349.85486272937,0
"FOREIGN_WORKER_INFO_STATEAZ:REGIONAFRICA",-4510013673272121,1919272782071.25,-2349.85548453669,0
"FOREIGN_WORKER_INFO_STATECA:REGIONAFRICA",-6414050845014.73,1919272610606.56,-3.3419175627102,0.000832017673719281
"FOREIGN_WORKER_INFO_STATEDC:REGIONAFRICA",-6414050845012.92,1919272610606.5,-3.34191756270936,0.000832017673721797
"FOREIGN_WORKER_INFO_STATEDE:REGIONAFRICA",-4510013681532662,1919272619120.41,-2349.85568834904,0
"FOREIGN_WORKER_INFO_STATEFL:REGIONAFRICA",-6414050845021.44,1919272610606.82,-3.34191756271326,0.000832017673710137
"FOREIGN_WORKER_INFO_STATEGA:REGIONAFRICA",-4510013661802897,1919273168851.15,-2349.85500500824,0
"FOREIGN_WORKER_INFO_STATEIA:REGIONAFRICA",4497185582934536,1919273689638.83,2343.17054790702,0
"FOREIGN_WORKER_INFO_STATEID:REGIONAFRICA",-6413786350686.53,1919271094962.68,-3.34178239203422,0.000832422930764319
"FOREIGN_WORKER_INFO_STATEIL:REGIONAFRICA",-6414050845012.94,1919272610606.51,-3.34191756270937,0.000832017673721792
"FOREIGN_WORKER_INFO_STATEIN:REGIONAFRICA",4497185569741736,1919273099070.12,2343.17126203697,0
"FOREIGN_WORKER_INFO_STATEKS:REGIONAFRICA",4497185593097959,1919273664509.43,2343.17058388203,0
"FOREIGN_WORKER_INFO_STATELA:REGIONAFRICA",-4510013713515372,1919269845912.53,-2349.85910038672,0
"FOREIGN_WORKER_INFO_STATEMA:REGIONAFRICA",-4510013644358148,1919271900613.58,-2349.85654868199,0
"FOREIGN_WORKER_INFO_STATEMD:REGIONAFRICA",-6414050845012.51,1919272610606.59,-3.34191756270901,0.000832017673722872
"FOREIGN_WORKER_INFO_STATEME:REGIONAFRICA",-11979810549466,1919272158044.96,-6.24185084916205,4.32423196948229e-10
"FOREIGN_WORKER_INFO_STATEMI:REGIONAFRICA",-6414050845014.14,1919272610606.54,-3.34191756270994,0.000832017673720072
