"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1537983452123.17,4439158238365.77,-0.346458353034372,0.72899827779849
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATEAL",1537969759025.09,4439158950421.8,0.346455212845884,0.729000637358871
"JOB_INFO_EDUCATIONDoctorate:FOREIGN_WORKER_INFO_STATEAL",-4502061625850312,4439157742631,-1014.17022932418,0
"JOB_INFO_EDUCATIONHigh School:FOREIGN_WORKER_INFO_STATEAL",-4502061655878390,4439156610621.98,-1014.17049470746,0
"JOB_INFO_EDUCATIONMaster's:FOREIGN_WORKER_INFO_STATEAL",1537979702094.7,4439156289289.38,0.346457660390438,0.72899879825594
"JOB_INFO_EDUCATIONNone:FOREIGN_WORKER_INFO_STATEAL",1537593731465.42,4439160895079.36,0.346370354174317,0.729064401751421
"JOB_INFO_EDUCATIONOther:FOREIGN_WORKER_INFO_STATEAL",1537983452122.48,4439158238365.78,0.346458353034216,0.728998277798607
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATEAR",1537983452121.11,4439158238365.84,0.346458353033904,0.728998277798842
"JOB_INFO_EDUCATIONDoctorate:FOREIGN_WORKER_INFO_STATEAR",-4502061623252681,4439158074849.73,-1014.17015284032,0
"JOB_INFO_EDUCATIONMaster's:FOREIGN_WORKER_INFO_STATEAR",-4502061643312222,4439158994756.21,-1014.16994719728,0
"JOB_INFO_EDUCATIONNone:FOREIGN_WORKER_INFO_STATEAR",1537983452123.18,4439158238365.79,0.346458353034372,0.72899827779849
"JOB_INFO_EDUCATIONAssociate's:FOREIGN_WORKER_INFO_STATEAZ",-4502061595848727,4439156140603.81,-1014.17058856514,0
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATEAZ",1537983452121.71,4439158238365.82,0.346458353034039,0.728998277798741
"JOB_INFO_EDUCATIONDoctorate:FOREIGN_WORKER_INFO_STATEAZ",1537983452124.61,4439158238365.92,0.346458353034685,0.728998277798256
"JOB_INFO_EDUCATIONMaster's:FOREIGN_WORKER_INFO_STATEAZ",1537983452121.5,4439158238365.68,0.346458353034003,0.728998277798768
"JOB_INFO_EDUCATIONNone:FOREIGN_WORKER_INFO_STATEAZ",4505137591853026,4439153729074.97,1014.8640634691,0
"JOB_INFO_EDUCATIONOther:FOREIGN_WORKER_INFO_STATEAZ",-4502061587802358,4439158040043.05,-1014.17015280643,0
"JOB_INFO_EDUCATIONAssociate's:FOREIGN_WORKER_INFO_STATECA",1537983452123.12,4439158238365.64,0.346458353034372,0.72899827779849
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATECA",1537983452120.97,4439158238365.8,0.346458353033874,0.728998277798864
"JOB_INFO_EDUCATIONDoctorate:FOREIGN_WORKER_INFO_STATECA",1537983452120.26,4439158238365.71,0.346458353033721,0.728998277798979
"JOB_INFO_EDUCATIONHigh School:FOREIGN_WORKER_INFO_STATECA",1537983452122.55,4439158238365.75,0.346458353034233,0.728998277798595
"JOB_INFO_EDUCATIONMaster's:FOREIGN_WORKER_INFO_STATECA",1537983452120.8,4439158238365.82,0.346458353033834,0.728998277798894
"JOB_INFO_EDUCATIONNone:FOREIGN_WORKER_INFO_STATECA",1537983452122.38,4439158238365.71,0.3464583530342,0.72899827779862
"JOB_INFO_EDUCATIONOther:FOREIGN_WORKER_INFO_STATECA",1537983452121.67,4439158238365.77,0.346458353034034,0.728998277798745
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATECO",1537983452121.64,4439158238365.7,0.346458353034034,0.728998277798744
"JOB_INFO_EDUCATIONDoctorate:FOREIGN_WORKER_INFO_STATECO",1537983452123.15,4439158238365.72,0.346458353034372,0.72899827779849
"JOB_INFO_EDUCATIONHigh School:FOREIGN_WORKER_INFO_STATECO",-4502061634347580,4439156409753.51,-1014.17053574771,0
"JOB_INFO_EDUCATIONMaster's:FOREIGN_WORKER_INFO_STATECO",1537983452120.33,4439158238365.74,0.346458353033735,0.728998277798969
"JOB_INFO_EDUCATIONNone:FOREIGN_WORKER_INFO_STATECO",1537983452123.15,4439158238365.72,0.346458353034373,0.72899827779849
"JOB_INFO_EDUCATIONBachelor's:FOREIGN_WORKER_INFO_STATECT",1537983452121.63,4439158238365.77,0.346458353034025,0.728998277798751
