"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3880087533613.23,1406697099436.35,-2.75829639171641,0.00581034889772136
"JOB_INFO_EDUCATIONAssociate's:REGIONAFRICA",3880087533618.2,1406697099435.84,2.75829639172094,0.00581034889764083
"JOB_INFO_EDUCATIONBachelor's:REGIONAFRICA",3880087533612.29,1406697099436.37,2.75829639171571,0.00581034889773376
"JOB_INFO_EDUCATIONDoctorate:REGIONAFRICA",3880079211513.83,1406697411665.39,2.75828986343282,0.0058104649472994
"JOB_INFO_EDUCATIONHigh School:REGIONAFRICA",3880087533614.73,1406697099436.31,2.75829639171755,0.00581034889770105
"JOB_INFO_EDUCATIONMaster's:REGIONAFRICA",3880087533611.71,1406697099436.31,2.75829639171542,0.00581034889773888
"JOB_INFO_EDUCATIONNone:REGIONAFRICA",3880087533615,1406697099436.39,2.75829639171759,0.00581034889770042
"JOB_INFO_EDUCATIONOther:REGIONAFRICA",3880087533612.98,1406697099436.26,2.75829639171641,0.00581034889772138
"JOB_INFO_EDUCATIONAssociate's:REGIONASIA",3880087533613.35,1406697099436.34,2.75829639171651,0.00581034889771951
"JOB_INFO_EDUCATIONBachelor's:REGIONASIA",3880087533610.96,1406697099436.29,2.75829639171491,0.00581034889774802
"JOB_INFO_EDUCATIONDoctorate:REGIONASIA",3880087533610.41,1406697099436.23,2.75829639171464,0.00581034889775274
"JOB_INFO_EDUCATIONHigh School:REGIONASIA",3880087533613.11,1406697099436.37,2.75829639171628,0.00581034889772361
"JOB_INFO_EDUCATIONMaster's:REGIONASIA",3880087533610.78,1406697099436.29,2.75829639171479,0.00581034889775024
"JOB_INFO_EDUCATIONNone:REGIONASIA",3880087533612.9,1406697099436.39,2.7582963917161,0.00581034889772689
"JOB_INFO_EDUCATIONOther:REGIONASIA",3880087533610.67,1406697099436.32,2.75829639171465,0.00581034889775267
"JOB_INFO_EDUCATIONAssociate's:REGIONCANADA",3880087533613.48,1406697099436.44,2.75829639171641,0.00581034889772136
"JOB_INFO_EDUCATIONBachelor's:REGIONCANADA",3880087533611.24,1406697099436.38,2.75829639171494,0.00581034889774742
"JOB_INFO_EDUCATIONDoctorate:REGIONCANADA",3880087533610.89,1406697099436.34,2.75829639171477,0.00581034889775044
"JOB_INFO_EDUCATIONHigh School:REGIONCANADA",-4499719536089322,1406697200841.65,-3198.78331555439,0
"JOB_INFO_EDUCATIONMaster's:REGIONCANADA",3880087533611.74,1406697099436.36,2.75829639171533,0.00581034889774055
"JOB_INFO_EDUCATIONNone:REGIONCANADA",3880087533612.32,1406697099436.31,2.75829639171583,0.0058103488977316
"JOB_INFO_EDUCATIONOther:REGIONCANADA",3880087337155.32,1406697084024.76,2.75829628227696,0.00581035084314693
"JOB_INFO_EDUCATIONAssociate's:REGIONEUROPE",3880087533601.52,1406697099438.48,2.75829639170392,0.00581034889794336
"JOB_INFO_EDUCATIONBachelor's:REGIONEUROPE",3880087533611.84,1406697099436.34,2.75829639171545,0.0058103488977385
"JOB_INFO_EDUCATIONDoctorate:REGIONEUROPE",3880087533611.85,1406697099436.33,2.75829639171547,0.00581034889773806
"JOB_INFO_EDUCATIONHigh School:REGIONEUROPE",3880087533612.43,1406697099436.36,2.75829639171582,0.00581034889773182
"JOB_INFO_EDUCATIONMaster's:REGIONEUROPE",3880087533611.25,1406697099436.43,2.75829639171485,0.005810348897749
"JOB_INFO_EDUCATIONNone:REGIONEUROPE",3880087533612.81,1406697099436.35,2.75829639171612,0.00581034889772649
"JOB_INFO_EDUCATIONOther:REGIONEUROPE",3880087533612.38,1406697099436.34,2.75829639171583,0.0058103488977316
"JOB_INFO_EDUCATIONAssociate's:REGIONLATIN AMERICA",3880087533613.56,1406697099436.32,2.7582963917167,0.00581034889771624
"JOB_INFO_EDUCATIONBachelor's:REGIONLATIN AMERICA",3880087533612.03,1406697099436.34,2.75829639171557,0.00581034889773629
"JOB_INFO_EDUCATIONDoctorate:REGIONLATIN AMERICA",3879792693664.58,1406697101009.01,2.75808679130826,0.00581407588844461
"JOB_INFO_EDUCATIONHigh School:REGIONLATIN AMERICA",3880087533612.94,1406697099436.4,2.75829639171612,0.00581034889772648
"JOB_INFO_EDUCATIONMaster's:REGIONLATIN AMERICA",3880087533612.15,1406697099436.33,2.7582963917157,0.00581034889773403
"JOB_INFO_EDUCATIONNone:REGIONLATIN AMERICA",3880087533613.44,1406697099436.35,2.75829639171657,0.00581034889771857
"JOB_INFO_EDUCATIONOther:REGIONLATIN AMERICA",3880087533611.41,1406697099436.37,2.75829639171508,0.00581034889774502
"JOB_INFO_EDUCATIONAssociate's:REGIONMIDDLE EAST",3880087533613.47,1406697099436.44,2.75829639171641,0.00581034889772134
"JOB_INFO_EDUCATIONBachelor's:REGIONMIDDLE EAST",3880087533611.7,1406697099436.34,2.75829639171534,0.00581034889774033
"JOB_INFO_EDUCATIONDoctorate:REGIONMIDDLE EAST",3880087533587.02,1406697099436.44,2.75829639169761,0.00581034889805555
"JOB_INFO_EDUCATIONHigh School:REGIONMIDDLE EAST",3880087533612.23,1406697099436.39,2.75829639171563,0.00581034889773522
"JOB_INFO_EDUCATIONMaster's:REGIONMIDDLE EAST",3880087533611.84,1406697099436.35,2.75829639171542,0.00581034889773888
"JOB_INFO_EDUCATIONNone:REGIONMIDDLE EAST",3880087533612.28,1406697099436.41,2.75829639171563,0.00581034889773524
"JOB_INFO_EDUCATIONOther:REGIONMIDDLE EAST",3880087533610.83,1406697099436.32,2.75829639171477,0.00581034889775045
"JOB_INFO_EDUCATIONBachelor's:REGIONOCEANIA",3880087533610.72,1406697099436.28,2.75829639171477,0.00581034889775045
"JOB_INFO_EDUCATIONMaster's:REGIONOCEANIA",3880087533612.15,1406697099436.36,2.75829639171563,0.00581034889773526
"JOB_INFO_EDUCATIONNone:REGIONOCEANIA",3880087533586.85,1406697099436.36,2.75829639169764,0.00581034889805496
"JOB_INFO_EDUCATIONOther:REGIONOCEANIA",3880087533586.75,1406697099436.37,2.75829639169755,0.00581034889805655
