"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.141499562273654,0.122247472139072,-1.15748456632854,0.247074441295512
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATENewEngland",-1.68304972977706,0.303914043804361,-5.53791364396602,3.06096114151336e-08
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATENewEngland",-1.70027032752826,0.322587274833183,-5.2707296913913,1.35882461511104e-07
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATEMidAtlantic",-1.28777662141984,0.178028646407284,-7.23353599214444,4.70577659725205e-13
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATEMidAtlantic",-1.69318495167089,0.213217934458674,-7.94110005788027,2.00395932545954e-15
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATESouth",-1.53846850096621,0.194317891745226,-7.91727661899156,2.42769243706193e-15
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATESouth",-1.50715906331369,0.203568590259201,-7.40369160779984,1.32449819323914e-13
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATEMidwest",-1.80007218514752,0.222699456802972,-8.08296621369891,6.32101401470901e-16
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATEMidwest",-1.59141940693147,0.220377805353711,-7.22132341946691,5.1484043493472e-13
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATESouthwest",-1.90619328038851,0.248969688606818,-7.65632672416938,1.91326602776545e-14
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATESouthwest",-1.06681164364887,0.207790856684177,-5.13406441781182,2.83550972828939e-07
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATEWest",-2.15391694975826,0.175108334871747,-12.3004821634323,9.00350742264791e-35
"JOB_INFO_EXPERIENCEN:FOREIGN_WORKER_INFO_STATEWest",-1.42154531059071,0.176269888758357,-8.06459526697417,7.34788878219033e-16
"JOB_INFO_EXPERIENCEY:FOREIGN_WORKER_INFO_STATENA",0.194143295759111,0.203171038237293,0.955565800339917,0.339291646796029
