"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",4458765269706.28,2088226257039.71,2.13519260888284,0.0327452803978032
"JOB_INFO_EXPERIENCEY:REGIONAFRICA",-4458765269706.27,2088226257039.75,-2.13519260888281,0.032745280397806
"JOB_INFO_EXPERIENCEN:REGIONAFRICA",-4458765269706.64,2088226257039.76,-2.13519260888297,0.032745280397793
"JOB_INFO_EXPERIENCEY:REGIONASIA",-4458765269708.38,2088226257039.72,-2.13519260888384,0.0327452803977216
"JOB_INFO_EXPERIENCEN:REGIONASIA",-4458765269707.74,2088226257039.73,-2.13519260888353,0.032745280397747
"JOB_INFO_EXPERIENCEY:REGIONCANADA",-4458765269708.08,2088226257039.68,-2.13519260888374,0.0327452803977301
"JOB_INFO_EXPERIENCEN:REGIONCANADA",-4458765269707.91,2088226257039.75,-2.13519260888359,0.0327452803977425
"JOB_INFO_EXPERIENCEY:REGIONEUROPE",-4458765269707.83,2088226257039.82,-2.13519260888348,0.0327452803977515
"JOB_INFO_EXPERIENCEN:REGIONEUROPE",-4458765269707.73,2088226257039.75,-2.13519260888349,0.03274528039775
"JOB_INFO_EXPERIENCEY:REGIONLATIN AMERICA",-4458765269706.93,2088226257039.81,-2.13519260888306,0.0327452803977856
"JOB_INFO_EXPERIENCEN:REGIONLATIN AMERICA",-4458765269706.59,2088226257039.66,-2.13519260888304,0.0327452803977871
"JOB_INFO_EXPERIENCEY:REGIONMIDDLE EAST",-4458765269707.46,2088226257039.71,-2.13519260888341,0.032745280397757
"JOB_INFO_EXPERIENCEN:REGIONMIDDLE EAST",-4458765269707.96,2088226257039.71,-2.13519260888365,0.0327452803977373
"JOB_INFO_EXPERIENCEY:REGIONOCEANIA",-4458765269707.62,2088226257039.55,-2.13519260888365,0.0327452803977372
"JOB_INFO_EXPERIENCEN:REGIONOCEANIA",-4458765269733.43,2088226257039.55,-2.13519260889601,0.0327452803967277
