"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.37220383697802,0.156116068110342,-2.38414816285886,0.0171187086143322
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEAL",-0.000591900778989025,1.15314125182137,-0.00051329425432845,0.999590450457307
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEAR",-2.59971005881008e-05,1.7697056820199e-05,-1.46900701355201,0.141830886916621
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEAZ",-5.91170384496707e-06,4.90324956229587e-06,-1.20567060066162,0.227944525104211
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATECA",-1.98675151159586e-05,2.3211471935778e-06,-8.55935167357266,1.13503993423703e-17
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATECO",-2.61114906604684e-05,1.03219782330126e-05,-2.5296982875779,0.0114160647494535
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATECT",-1.33089510181495e-05,4.92128014448929e-06,-2.70436769039708,0.00684345170797284
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEDC",-1.38716098543018e-05,1.76839996589738e-05,-0.784415863029186,0.432796133405602
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEDE",-0.000362425061066396,0.964570698888565,-0.000375737166268894,0.999700205123168
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEFL",-1.83963166109594e-05,4.64463350290238e-06,-3.96076818536139,7.47090337930423e-05
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEGA",-3.42081867487914e-05,1.01238988269058e-05,-3.37895383326806,0.000727622259738293
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEGU",-0.000505365253941061,1.99530601695923,-0.000253277066096968,0.999797914141516
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEHI",-0.000605296518492082,2.15609736072701,-0.000280737099129875,0.999776004205902
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEIA",-0.000491647053077622,0.800168740810291,-0.000614429217242047,0.999509756444703
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEID",-0.000362023369178394,1.24588964442278,-0.00029057418592328,0.999768155346547
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEIL",-1.23595798411206e-05,3.49465858010865e-06,-3.53670596362988,0.000405150456631383
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEIN",-1.01666360444133e-05,7.61601156631575e-06,-1.33490291550744,0.181908123445724
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEKS",-1.68309257999377e-05,8.58641771855446e-06,-1.96018017660235,0.04997473463306
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEKY",-1.84837416887121e-05,2.2211101475175e-05,-0.832184829256266,0.405304625642885
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATELA",-0.000152150111645764,0.000833491782710495,-0.182545424924257,0.855154709235433
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMA",-2.03194536310142e-05,4.9288237847927e-06,-4.1225766061484,3.74657954099489e-05
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMD",-7.99938284374566e-05,4.42977012366736e-05,-1.80582346722838,0.0709459186216576
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEME",-1.04904768869338,36.979583530826,-0.028368293759147,0.977368411933773
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMI",-2.79712929047652e-05,8.9596253026166e-06,-3.12192663867276,0.00179671704600347
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMN",-3.70662357578932e-05,1.29306943126632e-05,-2.86653097363795,0.0041499754746577
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMO",-1.57109006425244e-05,7.53868215742204e-06,-2.08403807382389,0.0371567041512748
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMP",3.55806216645769,17106.691604883,0.000207992418910624,0.999834046061384
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEMS",2.18457734329322e-07,2.2562775507092e-05,0.0096822190275596,0.992274827623638
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATENC",-1.66725436591739e-05,5.30188412212114e-06,-3.14464504978726,0.00166288453457972
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATEND",-1.33816109301317e-05,2.32305265536374e-05,-0.576035627054543,0.564591100772565
"PW_AMOUNT_9089:FOREIGN_WORKER_INFO_STATENE",-2.89085681601089e-05,1.54343962151461e-05,-1.87299637492397,0.061068885577763
