"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.693147180559843,1.22474487139138,-0.565952303006902,0.571426204958305
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONAssociate's",1.38629436111981,1.29099444873565,1.07381899471178,0.282903814899936
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONAssociate's",0.538996500732542,1.34518541826885,0.400685655235683,0.688651573365813
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONAssociate's",-14.8729210681454,727.699796860462,-0.0204382646969425,0.98369375940432
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONAssociate's",-1.50407739677645,1.61589328580529,-0.930802429831796,0.351955772572513
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONBachelor's",-0.926948026348268,1.23344667973985,-0.751510415143177,0.452345535080207
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONBachelor's",-1.03818054948323,1.23361144897512,-0.841578237901204,0.400024074737218
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONBachelor's",-0.927986771637437,1.25317653839667,-0.740507616608201,0.458992041307224
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONBachelor's",-1.59530340149931,1.232608299128,-1.29425008952795,0.195579050168253
"PW_LEVEL_9089N/A:JOB_INFO_EDUCATIONBachelor's",-2.19722457733638,1.59861050777078,-1.3744589858854,0.169299234742884
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONDoctorate",-1.72276659774131,1.31067049362403,-1.31441625192754,0.188706164267197
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONDoctorate",-2.01490302054242,1.60208197875957,-1.25767785123112,0.208508285545922
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONDoctorate",-0.864997437486678,1.34262115987596,-0.644260245061676,0.51940669036514
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONDoctorate",-14.8729210682023,650.87471566093,-0.0228506665112957,0.981769392527996
"PW_LEVEL_9089N/A:JOB_INFO_EDUCATIONDoctorate",-14.8729210680509,840.275049632858,-0.0177000627051218,0.985878130624825
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONHigh School",-0.117783035656499,1.29636243217516,-0.0908565635143182,0.92760656467537
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONHigh School",0.492476485097673,1.30461496312884,0.377487993788276,0.705810985150837
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONHigh School",0.146603474191689,1.28200650148739,0.114354704146663,0.908956619229233
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONHigh School",0.387765531008638,1.2743861857284,0.304276313845165,0.760917388984034
"PW_LEVEL_9089N/A:JOB_INFO_EDUCATIONHigh School",16.2592154293018,1455.39804765396,0.0111716622511009,0.991086488581735
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONMaster's",-1.18562366565787,1.26680621240878,-0.935915575756026,0.349316657005614
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONMaster's",-1.50550088456124,1.23054580895092,-1.22344156033063,0.221162964122104
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONMaster's",-1.62693106988169,1.23786184128755,-1.31430747407922,0.188742753090076
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONMaster's",-1.42042736748955,1.24990678250465,-1.1364266418678,0.255778050979589
"PW_LEVEL_9089N/A:JOB_INFO_EDUCATIONMaster's",-14.8729210682695,310.294213569011,-0.0479316739335897,0.961770696244586
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONNone",0.489164126984691,1.23014293926552,0.397648201173073,0.690889524759535
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONNone",0.804372815670043,1.24728807986728,0.644897380688218,0.518993689262874
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONNone",0.0273989741879941,1.24133634278362,0.0220721598519814,0.982390394284131
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONNone",0.031748698314488,1.24393690847144,0.0255227560966102,0.979637997657693
"PW_LEVEL_9089N/A:JOB_INFO_EDUCATIONNone",0.693147180559846,1.47196014438775,0.470900780298066,0.637711590794625
"PW_LEVEL_9089Level I:JOB_INFO_EDUCATIONOther",-1.89711998488598,1.36320700311167,-1.39165950626397,0.16402553002003
"PW_LEVEL_9089Level II:JOB_INFO_EDUCATIONOther",-1.87180217690164,1.42774701486675,-1.31101809873252,0.189851649017632
"PW_LEVEL_9089Level III:JOB_INFO_EDUCATIONOther",-0.405465108108354,1.35400640077241,-0.299455828182976,0.764592270485818
"PW_LEVEL_9089Level IV:JOB_INFO_EDUCATIONOther",-0.559615787935405,1.46385010942257,-0.382290361788578,0.702246002950187
