"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.19722457733448,1.0540925533891,-2.08447025858404,0.0371174128111688
"PW_LEVEL_9089Level I:REGIONAFRICA",1.21639532432287,1.25277469819747,0.97096096055664,0.331567719487695
"PW_LEVEL_9089Level II:REGIONAFRICA",2.48490664978627,1.09924216318907,2.26056344361571,0.0237863036060838
"PW_LEVEL_9089Level III:REGIONAFRICA",1.5040773967745,1.1879019787467,1.26616288522508,0.205454772269121
"PW_LEVEL_9089Level IV:REGIONAFRICA",17.7632928258851,840.274818254702,0.0211398609597518,0.983134087543781
"PW_LEVEL_9089Level I:REGIONASIA",1.11854650356723,1.05826612671113,1.05696145358392,0.290529179844377
"PW_LEVEL_9089Level II:REGIONASIA",0.190400077357432,1.05872118582614,0.179839678195217,0.857278432725361
"PW_LEVEL_9089Level III:REGIONASIA",0.164097817835803,1.06330138096586,0.154328604075303,0.877350644693078
"PW_LEVEL_9089Level IV:REGIONASIA",-0.214678706619986,1.06296664363225,-0.201961846974247,0.839946551226848
"PW_LEVEL_9089N/A:REGIONASIA",-0.847297860388942,1.27864015067565,-0.662655446836406,0.507551250200766
"PW_LEVEL_9089Level I:REGIONCANADA",0.439366659782262,1.15999735763968,0.378765224669365,0.704862213297667
"PW_LEVEL_9089Level II:REGIONCANADA",0.492476485096055,1.14371360404607,0.430594235614442,0.666763433288272
"PW_LEVEL_9089Level III:REGIONCANADA",-0.105360515659522,1.28884099527846,-0.0817482653372297,0.934846896580695
"PW_LEVEL_9089Level IV:REGIONCANADA",0.656779536387372,1.14607681395767,0.573067641181361,0.566598895917017
"PW_LEVEL_9089N/A:REGIONCANADA",-13.3688436714929,1029.12200425828,-0.0129905333052597,0.989635345552697
"PW_LEVEL_9089Level I:REGIONEUROPE",0.871554838031057,1.08883407391673,0.800447799081008,0.4234513964198
"PW_LEVEL_9089Level II:REGIONEUROPE",0.261570928446277,1.09217624992007,0.239495162493617,0.810721647108762
"PW_LEVEL_9089Level III:REGIONEUROPE",1.12458777506968,1.10197548861449,1.02051977261637,0.307482016700469
"PW_LEVEL_9089Level IV:REGIONEUROPE",1.03078969232766,1.08634070745815,0.948864095077067,0.342689737887661
"PW_LEVEL_9089Level I:REGIONLATIN AMERICA",1.97786174886023,1.07010772859101,1.84828283734054,0.0645614372222009
"PW_LEVEL_9089Level II:REGIONLATIN AMERICA",1.32473646811876,1.07784542953014,1.22905978150898,0.219049392869949
"PW_LEVEL_9089Level III:REGIONLATIN AMERICA",2.03292152604326,1.08495549545946,1.8737372496393,0.0609666490903302
"PW_LEVEL_9089Level IV:REGIONLATIN AMERICA",1.48698296341529,1.07821288355938,1.3791181556897,0.16785832691392
"PW_LEVEL_9089N/A:REGIONLATIN AMERICA",2.19722457733462,1.26929551764368,1.73105832864954,0.083441361707385
"PW_LEVEL_9089Level I:REGIONMIDDLE EAST",0.810930216214552,1.1356419064484,0.714072113409985,0.47518258877229
"PW_LEVEL_9089Level II:REGIONMIDDLE EAST",-13.3688436714154,325.438488782392,-0.0410794793247539,0.967232533918885
"PW_LEVEL_9089Level III:REGIONMIDDLE EAST",-0.28768207245348,1.48136573621907,-0.194200571418466,0.846018835461178
"PW_LEVEL_9089Level IV:REGIONMIDDLE EAST",1.94591014905349,1.1683661091792,1.66549691382313,0.0958136588331335
"PW_LEVEL_9089Level I:REGIONOCEANIA",0.810930216214613,1.53659074288187,0.52774638918735,0.59767537122865
"PW_LEVEL_9089Level II:REGIONOCEANIA",-13.3688436716312,840.274818330238,-0.015910084867469,0.987306124460589
"PW_LEVEL_9089Level III:REGIONOCEANIA",-13.3688436714666,1029.12200431219,-0.0129905333045537,0.98963534555326
