"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",5371692398796.81,2022244409788.44,2.65630226138628,0.00790027678188431
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEAL",-4508971319677123,2022244391213.08,-2229.68664878943,0
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEAL",-5371692398799.82,2022244409788.49,-2.65630226138771,0.00790027678185081
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEAR",-5371706594560.38,2022242725119.45,-2.65631149408292,0.00790006046768478
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEAR",-5371692398799.06,2022244409788.53,-2.65630226138728,0.00790027678186102
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEAZ",-5371692398798.17,2022244409788.51,-2.65630226138687,0.00790027678187055
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATECA",-5371692398797.78,2022244409788.55,-2.65630226138663,0.00790027678187629
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATECA",-5371692398799.05,2022244409788.51,-2.6563022613873,0.00790027678186044
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATECO",-5371692398777.45,2022244409788.19,-2.65630226137704,0.007900276782101
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATECO",-5371692398798.37,2022244409788.46,-2.65630226138703,0.00790027678186674
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATECT",-5371692398798.41,2022244409788.45,-2.65630226138707,0.00790027678186593
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEDC",-5371692398798.2,2022244409788.44,-2.65630226138697,0.00790027678186828
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEDE",-4508971392072936,2022245235691.52,-2229.68575348433,0
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEDE",-5371692398798.1,2022244409788.51,-2.65630226138683,0.00790027678187162
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEFL",-4508971322201606,2022245332931.08,-2229.68561171865,0
"RECR_INFO_COLL_UNIV_TEACHERN:FOREIGN_WORKER_INFO_STATEFL",-5371692398798.58,2022244409788.49,-2.6563022613871,0.00790027678186519
"RECR_INFO_COLL_UNIV_TEACHERY:FOREIGN_WORKER_INFO_STATEGA",-4508971324137237,2022244603031.14,-2229.68641744859,0
