"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-136941298606.246,833969625484.731,-0.164204180130244,0.869570410507199
"RECR_INFO_PROFESSIONAL_OCCY:REGIONAFRICA",136941298605.242,833969625484.771,0.164204180129031,0.869570410508153
"RECR_INFO_PROFESSIONAL_OCCN:REGIONAFRICA",136941298607.717,833969625484.754,0.164204180132002,0.869570410505815
"RECR_INFO_PROFESSIONAL_OCCY:REGIONASIA",136941298604.109,833969625484.741,0.164204180127678,0.869570410509218
"RECR_INFO_PROFESSIONAL_OCCN:REGIONASIA",136941298605.731,833969625484.793,0.164204180129613,0.869570410507695
"RECR_INFO_PROFESSIONAL_OCCY:REGIONCANADA",136941298604.343,833969625484.811,0.164204180127945,0.869570410509008
"RECR_INFO_PROFESSIONAL_OCCN:REGIONCANADA",136941298605.307,833969625484.828,0.164204180129098,0.8695704105081
"RECR_INFO_PROFESSIONAL_OCCY:REGIONEUROPE",136941298604.632,833969625484.804,0.164204180128293,0.869570410508734
"RECR_INFO_PROFESSIONAL_OCCN:REGIONEUROPE",136941298605.786,833969625484.789,0.16420418012968,0.869570410507642
"RECR_INFO_PROFESSIONAL_OCCY:REGIONLATIN AMERICA",136941298604.956,833969625484.768,0.164204180128688,0.869570410508423
"RECR_INFO_PROFESSIONAL_OCCN:REGIONLATIN AMERICA",136941298606.432,833969625484.786,0.164204180130456,0.869570410507032
"RECR_INFO_PROFESSIONAL_OCCY:REGIONMIDDLE EAST",136941298604.933,833969625484.78,0.164204180128659,0.869570410508446
"RECR_INFO_PROFESSIONAL_OCCN:REGIONMIDDLE EAST",136941298604.383,833969625484.783,0.164204180127999,0.869570410508965
"RECR_INFO_PROFESSIONAL_OCCY:REGIONOCEANIA",136941298604.309,833969625484.783,0.16420418012791,0.869570410509035
"RECR_INFO_PROFESSIONAL_OCCN:REGIONOCEANIA",136941298579.365,833969625484.802,0.164204180097996,0.869570410532584
