"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",98506819655.7293,1269268813259.6,0.0776091074062983,0.938138997572592
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-98503674362.3602,1269269493173.17,-0.0776065877988614,0.938141001883407
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-98506819655.9944,1269268813259.7,-0.0776091074065014,0.93813899757243
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-98506819656.4261,1269268813259.67,-0.077609107406843,0.938138997572159
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-198877517730.793,1269269579405.86,-0.156686586488496,0.875491858930143
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-98506819654.3452,1269268813259.63,-0.0776091074052063,0.938138997573461
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-98506819655.7343,1269268813259.67,-0.0776091074062984,0.938138997572592
"REGIONOCEANIA:FOREIGN_WORKER_INFO_EDUCATIONAssociate's",-4503698113608938,1269272701954.69,-3548.25098394789,0
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819656.5452,1269268813259.67,-0.0776091074069368,0.938138997572084
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819657.7566,1269268813259.66,-0.0776091074078919,0.938138997571324
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819657.7739,1269268813259.66,-0.077609107407906,0.938138997571313
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819656.9382,1269268813259.67,-0.0776091074072468,0.938138997571837
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819656.9518,1269268813259.59,-0.0776091074072624,0.938138997571825
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819657.7386,1269268813259.59,-0.0776091074078822,0.938138997571332
"REGIONOCEANIA:FOREIGN_WORKER_INFO_EDUCATIONBachelor's",-98506819658.0195,1269268813259.54,-0.0776091074081066,0.938138997571153
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-98506819655.039,1269268813259.64,-0.0776091074057523,0.938138997573026
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-98506819658.5346,1269268813259.66,-0.0776091074085049,0.938138997570837
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-98506819657.6697,1269268813259.6,-0.0776091074078274,0.938138997571376
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-98506819657.527,1269268813259.68,-0.0776091074077099,0.938138997571469
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-4503698134194288,1269268819873.67,-3548.26185255424,0
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONDoctorate",-98506819658.0363,1269268813259.66,-0.0776091074081123,0.938138997571149
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98506819653.9377,1269268813259.6,-0.0776091074048868,0.938138997573715
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98506819656.0612,1269268813259.61,-0.0776091074065591,0.938138997572385
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98564351924.5464,1269268781101.63,-0.077654436469319,0.938102939033784
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98506819656.6466,1269268813259.62,-0.0776091074070201,0.938138997572018
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98506819655.1576,1269268813259.61,-0.0776091074058473,0.938138997572951
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONHigh School",-98506819657.1208,1269268813259.67,-0.0776091074073904,0.938138997571723
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819657.2569,1269268813259.62,-0.0776091074075006,0.938138997571636
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819657.7972,1269268813259.64,-0.0776091074079251,0.938138997571298
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819657.3813,1269268813259.65,-0.0776091074075972,0.938138997571559
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819657.7485,1269268813259.66,-0.0776091074078858,0.938138997571329
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819656.5948,1269268813259.57,-0.0776091074069824,0.938138997572048
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819656.8801,1269268813259.58,-0.0776091074072063,0.93813899757187
"REGIONOCEANIA:FOREIGN_WORKER_INFO_EDUCATIONMaster's",-98506819656.8275,1269268813259.6,-0.0776091074071639,0.938138997571903
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819654.2815,1269268813259.59,-0.0776091074051584,0.938138997573499
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819656.2487,1269268813259.6,-0.0776091074067075,0.938138997572266
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819656.4223,1269268813259.61,-0.0776091074068441,0.938138997572158
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819656.0904,1269268813259.66,-0.0776091074065792,0.938138997572369
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819655.6546,1269268813259.58,-0.0776091074062407,0.938138997572638
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819656.6476,1269268813259.63,-0.0776091074070199,0.938138997572018
"REGIONOCEANIA:FOREIGN_WORKER_INFO_EDUCATIONNone",-98506819663.4011,1269268813260.15,-0.0776091074123089,0.938138997567811
"REGIONAFRICA:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819655.7336,1269268813259.66,-0.0776091074062983,0.938138997572592
"REGIONASIA:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819657.4612,1269268813259.57,-0.0776091074076647,0.938138997571505
"REGIONCANADA:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819658.0285,1269268813259.58,-0.0776091074081112,0.93813899757115
"REGIONEUROPE:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819656.5568,1269268813259.61,-0.0776091074069496,0.938138997572074
"REGIONLATIN AMERICA:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819656.6114,1269268813259.56,-0.077609107406996,0.938138997572037
"REGIONMIDDLE EAST:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819658.2109,1269268813259.57,-0.0776091074082553,0.938138997571035
"REGIONOCEANIA:FOREIGN_WORKER_INFO_EDUCATIONOther",-98506819683.3087,1269268813259.7,-0.0776091074280209,0.938138997555312
