"","which..Intercept.","which.DECISION_DATE","which.ADMINTrump","which.PW_LEVEL_9089Level.I","which.PW_LEVEL_9089Level.II","which.PW_LEVEL_9089Level.III","which.PW_LEVEL_9089Level.IV","which.PW_AMOUNT_9089","which.JOB_INFO_EDUCATIONOther","which.JOB_INFO_EDUCATIONHigh.School","which.JOB_INFO_EDUCATIONAssociate.s","which.JOB_INFO_EDUCATIONBachelor.s","which.JOB_INFO_EDUCATIONMaster.s","which.JOB_INFO_EDUCATIONDoctorate","which.JOB_INFO_EXPERIENCEN","which.RECR_INFO_PROFESSIONAL_OCCN","which.RECR_INFO_COLL_UNIV_TEACHERN","which.FOREIGN_WORKER_INFO_STATEMidAtlantic","which.FOREIGN_WORKER_INFO_STATESouth","which.FOREIGN_WORKER_INFO_STATEMidwest","which.FOREIGN_WORKER_INFO_STATESouthwest","which.FOREIGN_WORKER_INFO_STATEWest","which.FOREIGN_WORKER_INFO_STATENA","which.REGIONASIA","which.REGIONAFRICA","which.REGIONLATIN.AMERICA","which.REGIONOCEANIA","which.REGIONEUROPE","which.REGIONMIDDLE.EAST","which.CLASS_OF_ADMISSIONB.1","which.CLASS_OF_ADMISSIONB.2","which.CLASS_OF_ADMISSIONE.1","which.CLASS_OF_ADMISSIONE.2","which.CLASS_OF_ADMISSIONE.3","which.CLASS_OF_ADMISSIONEWI","which.CLASS_OF_ADMISSIONF.1","which.CLASS_OF_ADMISSIONF.2","which.CLASS_OF_ADMISSIONG.4","which.CLASS_OF_ADMISSIONG.5","which.CLASS_OF_ADMISSIONH.1B","which.CLASS_OF_ADMISSIONH.1B1","which.CLASS_OF_ADMISSIONH.2A","which.CLASS_OF_ADMISSIONH.2B","which.CLASS_OF_ADMISSIONH.3","which.CLASS_OF_ADMISSIONH.4","which.CLASS_OF_ADMISSIONJ.1","which.CLASS_OF_ADMISSIONJ.2","which.CLASS_OF_ADMISSIONL.1","which.CLASS_OF_ADMISSIONNot.in.USA","which.CLASS_OF_ADMISSIONO.1","which.CLASS_OF_ADMISSIONO.2","which.CLASS_OF_ADMISSIONO.3","which.CLASS_OF_ADMISSIONP.1","which.CLASS_OF_ADMISSIONP.3","which.CLASS_OF_ADMISSIONParolee","which.CLASS_OF_ADMISSIONTN","which.CLASS_OF_ADMISSIONTPS","which.CLASS_OF_ADMISSIONVWT","which.FOREIGN_WORKER_INFO_EDUCATIONOther","which.FOREIGN_WORKER_INFO_EDUCATIONHigh.School","which.FOREIGN_WORKER_INFO_EDUCATIONAssociate.s","which.FOREIGN_WORKER_INFO_EDUCATIONBachelor.s","which.FOREIGN_WORKER_INFO_EDUCATIONMaster.s","which.FOREIGN_WORKER_INFO_EDUCATIONDoctorate","rsq","rss","adjr2","cp","bic","outmat.DECISION_DATE","outmat.ADMINTrump","outmat.PW_LEVEL_9089Level.I","outmat.PW_LEVEL_9089Level.II","outmat.PW_LEVEL_9089Level.III","outmat.PW_LEVEL_9089Level.IV","outmat.PW_AMOUNT_9089","outmat.JOB_INFO_EDUCATIONOther","outmat.JOB_INFO_EDUCATIONHigh.School","outmat.JOB_INFO_EDUCATIONAssociate.s","outmat.JOB_INFO_EDUCATIONBachelor.s","outmat.JOB_INFO_EDUCATIONMaster.s","outmat.JOB_INFO_EDUCATIONDoctorate","outmat.JOB_INFO_EXPERIENCEN","outmat.RECR_INFO_PROFESSIONAL_OCCN","outmat.RECR_INFO_COLL_UNIV_TEACHERN","outmat.FOREIGN_WORKER_INFO_STATEMidAtlantic","outmat.FOREIGN_WORKER_INFO_STATESouth","outmat.FOREIGN_WORKER_INFO_STATEMidwest","outmat.FOREIGN_WORKER_INFO_STATESouthwest","outmat.FOREIGN_WORKER_INFO_STATEWest","outmat.FOREIGN_WORKER_INFO_STATENA","outmat.REGIONASIA","outmat.REGIONAFRICA","outmat.REGIONLATIN.AMERICA","outmat.REGIONOCEANIA","outmat.REGIONEUROPE","outmat.REGIONMIDDLE.EAST","outmat.CLASS_OF_ADMISSIONB.1","outmat.CLASS_OF_ADMISSIONB.2","outmat.CLASS_OF_ADMISSIONE.1","outmat.CLASS_OF_ADMISSIONE.2","outmat.CLASS_OF_ADMISSIONE.3","outmat.CLASS_OF_ADMISSIONEWI","outmat.CLASS_OF_ADMISSIONF.1","outmat.CLASS_OF_ADMISSIONF.2","outmat.CLASS_OF_ADMISSIONG.4","outmat.CLASS_OF_ADMISSIONG.5","outmat.CLASS_OF_ADMISSIONH.1B","outmat.CLASS_OF_ADMISSIONH.1B1","outmat.CLASS_OF_ADMISSIONH.2A","outmat.CLASS_OF_ADMISSIONH.2B","outmat.CLASS_OF_ADMISSIONH.3","outmat.CLASS_OF_ADMISSIONH.4","outmat.CLASS_OF_ADMISSIONJ.1","outmat.CLASS_OF_ADMISSIONJ.2","outmat.CLASS_OF_ADMISSIONL.1","outmat.CLASS_OF_ADMISSIONNot.in.USA","outmat.CLASS_OF_ADMISSIONO.1","outmat.CLASS_OF_ADMISSIONO.2","outmat.CLASS_OF_ADMISSIONO.3","outmat.CLASS_OF_ADMISSIONP.1","outmat.CLASS_OF_ADMISSIONP.3","outmat.CLASS_OF_ADMISSIONParolee","outmat.CLASS_OF_ADMISSIONTN","outmat.CLASS_OF_ADMISSIONTPS","outmat.CLASS_OF_ADMISSIONVWT","outmat.FOREIGN_WORKER_INFO_EDUCATIONOther","outmat.FOREIGN_WORKER_INFO_EDUCATIONHigh.School","outmat.FOREIGN_WORKER_INFO_EDUCATIONAssociate.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONBachelor.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONMaster.s","outmat.FOREIGN_WORKER_INFO_EDUCATIONDoctorate"
"X1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0259323377339643,206.177163226279,0.0254398869441432,170.049077906078,-36.8418241800885," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X1.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0204176936653071,207.344426768971,0.0199224548855625,182.198846630552,-25.663747828748," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X1.2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0193026297615989,207.580448065425,0.0188068272488394,184.655536196442,-23.4111847951628," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X1.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0184489731446832,207.761138284866,0.0179527390562831,186.536297735449,-21.6884261366484," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.042420590783514,202.687157991524,0.0414518710979132,135.722443090021,-63.0537659969726," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X2.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0410050295428008,202.986784405879,0.0400348778276191,138.841183207402,-60.1289520205412," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X2.2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0399659155507615,203.206729676055,0.0389947126327551,141.130541237487,-57.9846948504287," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X2.3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0373279107479277,203.765106026996,0.0363540391351285,146.942547932651,-52.551464481094," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X3",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0577510130588056,199.442226352559,0.0563204730988747,103.946721071632,-87.418321033783," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"X3.1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0559908079299742,199.814802215835,0.0545575955938356,107.824774660708,-83.7229550382686," "," "," "," "," "," "," "," "," "," "," "," "," "," ","*","*"," "," "," "," "," "," ","*"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
